stn_code,stn_name,altitude,Longitude,Latitude,city,address,data_start_date,stn_end_date,comment,orig_stn_code,new_stn_code
C0Z210,瑞穗,126.0,121.39021000000001,23.5239,花蓮縣,瑞穗鄉鶴岡村167號(鶴岡國小),2017/12/01,,,,
C0Z220,和平林道,589.0,121.65631699999999,24.343922,花蓮縣,秀林鄉臺電公司東部發電廠碧海機組廠區內(進入管制哨約7公里處),2018/03/23,,,,
C0Z230,和平,31.0,121.77006999999999,24.307170000000003,花蓮縣,秀林鄉克來寶段399地號(和平工業港安檢所綠洲分隊),2017/12/01,,,,
C0Z250,瑞穗林道,1124.0,121.30688,23.49284,花蓮縣,卓溪鄉瑞穗林道約7.5K瑞欣礦區下方空地,2017/12/01,,,,
C0Z270,蕃薯寮,343.0,121.540108,23.73835,花蓮縣,壽豐鄉水璉村蕃薯寮附近山區道路旁(牛山段607地號內),2017/06/03,,,,
C0Z280,德武,224.0,121.41071000000001,23.47426,花蓮縣,玉里鎮德武里附近山區道路旁(德武段680地號內),2017/12/01,,,,
C0Z290,赤柯山,946.0,121.38293,23.36893,花蓮縣,玉里鎮赤柯山段338地號,2017/12/01,,,,
C0Z300,東里,182.0,121.30547,23.26853,花蓮縣,富里鄉東里村大莊路52號(東里消防分隊),2017/12/01,,,,
C0Z310,清水斷崖,59.0,121.68914199999999,24.218294,花蓮縣,秀林鄉臺9線大清水遊憩區下方空地,2018/03/23,,,,
C0Z320,清水林道,646.0,121.188272,23.27125,花蓮縣,卓溪鄉清水林道北側山區(新生段1地號),2018/05/09,,,,
C0Z330,安通山,488.0,121.348528,23.290728,花蓮縣,玉里鎮安通產業道路附近山區,2018/05/09,,,,
C1A630,下盆,527.0,121.538622,24.771003,新北市,烏來區東勢溪中游(步行一小時),1987/05/01,,,,
C1A9N0,四十份,435.0,121.59328300000001,24.934158,新北市,新店區北宜路旁(文山事業區第四林班),2000/06/01,,,,
C1AC50,關渡,111.0,121.46933100000001,25.133485999999998,臺北市,北投區學園路2號(臺北城市科技大學校園內5樓頂),1992/02/27,,原(C1A970)站因與三貂角氣象站(C0A970)重複編號，於2008/2/25起變更站碼為(C1AC50)。2009/2/18～2009/2/19原址儀器汰換，原站址位於校園內，汰換後移至樓頂。,C1A970,
C1C510,水尾,106.0,121.08716100000001,24.940081,桃園市,楊梅區豐野里1鄰151號(富崗水尾工作站內),1987/06/01,,,,
C1D380,新埔,65.0,121.03833999999999,24.84745,新竹縣,新埔鎮下寮里43號義民廟右方路旁,1987/06/01,,,,
C1D400,鳥嘴山,839.0,121.28387,24.719089999999998,新竹縣,尖石鄉新樂村復興礦場,1987/06/01,,,,
C1D410,白蘭,1290.0,121.079947,24.579364,新竹縣,五峰鄉桃山村,1987/06/01,,,,
C1D420,太閣南,1279.0,121.160575,24.632807999999997,新竹縣,五峰鄉羅山工作站後方山頂羅山瞭望台旁,1987/06/01,,,,
C1D630,飛鳳山,462.0,121.119178,24.766464000000003,新竹縣,芎林鄉王爺坑段83-7號地,2011/09/27,,,,
C1D640,外坪(五指山),718.0,121.09096100000001,24.644447,新竹縣,北埔鄉大坪段內大坪小段36-54號地,2011/09/27,,原名為外坪，於2016/4/26更名為外坪(五指山)。,,
C1E451,象鼻,950.0,120.940228,24.368617,苗栗縣,泰安鄉象鼻村,2011/11/01,,原(C1E450)站因儀器汰換，於2011/11/1更變為(C1E451)站。,C1E450,
C1E461,松安,1325.0,120.98602199999999,24.397972,苗栗縣,泰安鄉雪霸國家公園二本松解說站旁,2011/11/1,,原(C1E460)站因儀器汰換，於2011/11/1更變為(C1E461)站。,C1E460,
C1E480,鳳美,576.0,121.034747,24.554803,苗栗縣,南庄鄉東河村24鄰石門1號(南庄往鹿場途中),1990/07/01,,,,
C1E511,新開,326.0,120.82701899999999,24.347703,苗栗縣,大湖鄉新開村新開4鄰20號旁,2011/11/01,,原(C1E510)站因儀器汰換，於2011/11/1更變為(C1E511)站。,C1E510,
C1E601,南勢,125.0,120.73484199999999,24.572485999999998,苗栗縣,後龍鎮南港里南勢山,2011/11/01,,原(C1E600)站因儀器汰換，於2011/11/1更變為(C1E601)站。,C1E600,
C1E670,南礦,1209.0,121.00283600000002,24.538278,苗栗縣,南庄鄉蓬萊林道末端(南庄事業區18林班地),2002/05/09,,,,
C1E681,南勢山,977.0,120.923831,24.421669,苗栗縣,泰安鄉大興村(從泰安國小進入站址車程約10分鐘),2011/11/01,,原(C1E680)站因儀器汰換，於2011/11/1更變為(C1E681)站。,C1E680,
